Date	Close	Change
2006-07-27	1.403	0.00%
2006-07-28	1.437	2.42%
2006-07-31	1.437	0.00%
2006-08-01	1.442	0.35%
2006-08-02	1.408	-2.36%
2006-08-03	1.394	-0.99%
2006-08-04	1.403	0.65%
2006-08-07	1.359	-3.14%
2006-08-08	1.379	1.47%
2006-08-09	1.398	1.38%
2006-08-10	1.437	2.79%
2006-08-11	1.384	-3.69%
2006-08-14	1.418	2.46%
2006-08-15	1.408	-0.71%
2006-08-16	1.379	-2.06%
2006-08-17	1.364	-1.09%
2006-08-18	1.389	1.83%
2006-08-21	1.345	-3.17%
2006-08-22	1.325	-1.49%
2006-08-23	1.335	0.75%
2006-08-24	1.33	-0.37%
2006-08-25	1.225	-7.89%
2006-08-28	1.174	-4.16%
2006-08-29	1.203	2.47%
2006-08-30	1.169	-2.83%
2006-08-31	1.125	-3.76%
2006-09-01	1.14	1.33%
2006-09-04	1.179	3.42%
2006-09-05	1.198	1.61%
2006-09-06	1.189	-0.75%
2006-09-07	1.184	-0.42%
2006-09-08	1.218	2.87%
2006-09-11	1.15	-5.58%
2006-09-12	1.169	1.65%
2006-09-13	1.149	-1.71%
2006-09-14	1.151	0.17%
2006-09-15	1.142	-0.78%
2006-09-19	1.176	2.98%
2006-09-20	1.173	-0.26%
2006-09-21	1.188	1.28%
2006-09-22	1.134	-4.55%
2006-09-25	1.129	-0.44%
2006-09-26	1.095	-3.01%
2006-09-27	1.134	3.56%
2006-09-28	1.144	0.88%
2006-09-29	1.163	1.66%
2006-10-02	1.222	5.07%
2006-10-03	1.183	-3.19%
2006-10-04	1.183	0.00%
2006-10-05	1.202	1.61%
2006-10-06	1.188	-1.16%
2006-10-10	1.202	1.18%
2006-10-11	1.236	2.83%
2006-10-12	1.236	0.00%
2006-10-13	1.266	2.43%
2006-10-16	1.314	3.79%
2006-10-17	1.305	-0.68%
2006-10-18	1.324	1.46%
2006-10-19	1.339	1.13%
2006-10-20	1.329	-0.75%
2006-10-23	1.358	2.18%
2006-10-24	1.329	-2.14%
2006-10-25	1.305	-1.81%
2006-10-26	1.261	-3.37%
2006-10-27	1.256	-0.40%
2006-10-30	1.236	-1.59%
2006-10-31	1.217	-1.54%
2006-11-01	1.222	0.41%
2006-11-02	1.217	-0.41%
2006-11-06	1.275	4.77%
2006-11-07	1.275	0.00%
2006-11-08	1.251	-1.88%
2006-11-09	1.232	-1.52%
2006-11-10	1.217	-1.22%
2006-11-13	1.188	-2.38%
2006-11-14	1.266	6.57%
2006-11-15	1.263	-0.24%
2006-11-16	1.268	0.40%
2006-11-17	1.273	0.39%
2006-11-20	1.224	-3.85%
2006-11-21	1.229	0.41%
2006-11-22	1.229	0.00%
2006-11-24	1.221	-0.65%
2006-11-27	1.238	1.39%
2006-11-28	1.219	-1.53%
2006-11-29	1.258	3.20%
2006-11-30	1.219	-3.10%
2006-12-01	1.189	-2.46%
2006-12-04	1.204	1.26%
2006-12-05	1.204	0.00%
2006-12-06	1.234	2.49%
2006-12-07	1.273	3.16%
2006-12-08	1.287	1.10%
2006-12-11	1.243	-3.42%
2006-12-12	1.219	-1.93%
2006-12-13	1.194	-2.05%
2006-12-14	1.204	0.84%
2006-12-15	1.254	4.15%
2006-12-18	1.278	1.91%
2006-12-19	1.234	-3.44%
2006-12-20	1.233	-0.08%
2006-12-21	1.223	-0.81%
2006-12-22	1.209	-1.14%
2006-12-25	1.204	-0.41%
2006-12-26	1.194	-0.83%
2006-12-27	1.267	6.11%
2006-12-28	1.277	0.79%
2006-12-29	1.287	0.78%
2007-01-04	1.326	3.03%
2007-01-05	1.321	-0.38%
2007-01-09	1.336	1.14%
2007-01-10	1.346	0.75%
2007-01-11	1.326	-1.49%
2007-01-12	1.336	0.75%
2007-01-15	1.336	0.00%
2007-01-16	1.326	-0.75%
2007-01-17	1.258	-5.13%
2007-01-18	1.282	1.91%
2007-01-19	1.229	-4.13%
2007-01-22	1.204	-2.03%
2007-01-23	1.209	0.42%
2007-01-24	1.219	0.83%
2007-01-25	1.224	0.41%
2007-01-26	1.214	-0.82%
2007-01-29	1.238	1.98%
2007-01-30	1.233	-0.40%
2007-01-31	1.224	-0.73%
2007-02-01	1.233	0.74%
2007-02-02	1.263	2.43%
2007-02-05	1.258	-0.40%
2007-02-06	1.273	1.19%
2007-02-07	1.278	0.39%
2007-02-08	1.258	-1.56%
2007-02-09	1.219	-3.10%
2007-02-13	1.273	4.43%
2007-02-14	1.268	-0.39%
2007-02-15	1.292	1.89%
2007-02-16	1.258	-2.63%
2007-02-19	1.263	0.40%
2007-02-20	1.248	-1.19%
2007-02-21	1.248	0.00%
2007-02-22	1.233	-1.20%
2007-02-23	1.258	2.03%
2007-02-26	1.248	-0.79%
2007-02-27	1.224	-1.92%
2007-02-28	1.219	-0.41%
2007-03-01	1.238	1.56%
2007-03-02	1.228	-0.81%
2007-03-05	1.184	-3.58%
2007-03-06	1.199	1.27%
2007-03-07	1.189	-0.83%
2007-03-08	1.184	-0.42%
2007-03-09	1.175	-0.76%
2007-03-12	1.179	0.34%
2007-03-13	1.17	-0.76%
2007-03-14	1.13	-3.42%
2007-03-15	1.144	1.24%
2007-03-16	1.138	-0.52%
2007-03-19	1.148	0.88%
2007-03-20	1.174	2.26%
2007-03-22	1.164	-0.85%
2007-03-23	1.208	3.78%
2007-03-26	1.237	2.40%
2007-03-27	1.218	-1.54%
2007-03-28	1.247	2.38%
2007-03-29	1.222	-2.00%
2007-03-30	1.223	0.08%
