Date|Close|Change
2008-06-05|2.119|0.00%
2008-06-06|2.078|-1.93%
2008-06-09|2.289|10.15%
2008-06-10|2.495|9.00%
2008-06-11|2.428|-2.69%
2008-06-12|2.624|8.07%
2008-06-13|2.593|-1.18%
2008-06-16|2.629|1.39%
2008-06-17|2.515|-4.34%
2008-06-18|2.474|-1.63%
2008-06-19|2.53|2.26%
2008-06-20|2.442|-3.48%
2008-06-23|2.509|2.74%
2008-06-24|2.488|-0.84%
2008-06-25|2.411|-3.09%
2008-06-26|2.344|-2.78%
2008-06-27|2.287|-2.43%
2008-06-30|2.333|2.01%
2008-07-01|2.307|-1.11%
2008-07-02|2.342|1.52%
2008-07-03|2.275|-2.86%
2008-07-07|2.249|-1.14%
2008-07-08|2.239|-0.44%
2008-07-09|2.161|-3.48%
2008-07-10|2.156|-0.23%
2008-07-11|2.259|4.78%
2008-07-14|2.202|-2.52%
2008-07-15|2.13|-3.27%
2008-07-16|2.14|0.47%
2008-07-17|2.191|2.38%
2008-07-18|2.238|2.15%
2008-07-21|2.207|-1.39%
2008-07-22|2.294|3.94%
2008-07-23|2.304|0.44%
2008-07-24|2.222|-3.56%
2008-07-25|2.278|2.52%
2008-07-28|2.263|-0.66%
2008-07-29|2.288|1.10%
2008-07-30|2.281|-0.31%
2008-07-31|2.254|-1.18%
2008-08-01|2.244|-0.44%
2008-08-04|2.254|0.45%
2008-08-05|2.249|-0.22%
2008-08-06|2.233|-0.71%
2008-08-07|2.14|-4.16%
2008-08-08|2.161|0.98%
2008-08-11|2.233|3.33%
2008-08-12|2.135|-4.39%
2008-08-13|2.143|0.37%
2008-08-14|2.109|-1.59%
2008-08-15|2.103|-0.28%
2008-08-18|2.103|0.00%
2008-08-19|2.078|-1.19%
2008-08-20|2.026|-2.50%
2008-08-21|2.072|2.27%
2008-08-22|2.129|2.75%
2008-08-25|2.103|-1.22%
2008-08-26|2.134|1.47%
2008-08-27|2.136|0.09%
2008-08-28|2.151|0.70%
2008-08-29|2.151|0.00%
2008-09-02|2.099|-2.42%
2008-09-03|2.073|-1.24%
2008-09-04|2.027|-2.22%
2008-09-05|2.099|3.55%
2008-09-08|2.099|0.00%
2008-09-09|2.032|-3.19%
2008-09-10|2.021|-0.54%
2008-09-11|2.006|-0.74%
2008-09-12|2|-0.30%
2008-09-15|1.599|-20.05%
2008-09-16|1.651|3.25%
2008-09-17|1.45|-12.17%
2008-09-18|1.532|5.66%
2008-09-19|2.062|34.60%
2008-09-22|2.031|-1.50%
2008-09-23|1.943|-4.33%
2008-09-24|1.872|-3.65%
2008-09-25|1.975|5.50%
2008-09-26|1.836|-7.04%
2008-09-29|1.464|-20.26%
2008-09-30|1.785|21.93%
2008-10-01|1.642|-8.01%
2008-10-02|1.398|-14.86%
2008-10-03|1.367|-2.22%
2008-10-06|1.255|-8.19%
2008-10-07|1.21|-3.59%
2008-10-08|1.235|2.07%
2008-10-09|1.25|1.21%
2008-10-10|1.027|-17.84%
2008-10-14|1.194|16.26%
2008-10-15|1.073|-10.13%
2008-10-16|1.27|18.36%
2008-10-17|1.295|1.97%
2008-10-20|1.671|29.03%
2008-10-21|1.569|-6.10%
2008-10-22|1.581|0.76%
2008-10-23|1.642|3.86%
2008-10-24|1.56|-4.99%
2008-10-27|1.509|-3.27%
2008-10-28|1.494|-0.99%
2008-10-29|1.366|-8.57%
2008-10-30|1.315|-3.73%
2008-10-31|1.33|1.14%
2008-11-03|1.285|-3.38%
2008-11-04|1.274|-0.86%
2008-11-05|1.198|-5.97%
2008-11-06|1.132|-5.51%
2008-11-07|1.183|4.51%
2008-11-10|1.132|-4.31%
2008-11-12|0.989|-12.63%
2008-11-13|1.137|14.96%
2008-11-14|1.101|-3.17%
2008-11-17|1.06|-3.72%
2008-11-18|1.015|-4.25%
2008-11-19|0.947|-6.70%
2008-11-20|0.8|-15.52%
2008-11-21|0.82|2.50%
2008-11-24|0.927|13.05%
2008-11-25|0.937|1.08%
2008-11-26|0.927|-1.07%
2008-11-28|0.886|-4.42%
2008-12-01|0.81|-8.58%
2008-12-02|0.749|-7.53%
2008-12-03|0.699|-6.68%
2008-12-04|0.598|-14.45%
2008-12-05|0.527|-11.87%
2008-12-08|0.502|-4.74%
2008-12-09|0.462|-7.97%
2008-12-10|0.477|3.25%
2008-12-11|0.487|2.10%
2008-12-12|0.457|-6.16%
2008-12-15|0.472|3.28%
2008-12-16|0.401|-15.04%
2008-12-17|0.464|15.71%
2008-12-18|0.398|-14.22%
2008-12-19|0.386|-3.02%
2008-12-22|0.391|1.30%
2008-12-23|0.408|4.35%
2008-12-24|0.388|-4.90%
2008-12-26|0.357|-7.99%
2008-12-29|0.337|-5.60%
2008-12-30|0.312|-7.42%
2008-12-31|0.342|9.62%
2009-01-02|0.378|10.53%
2009-01-05|0.413|9.26%
2009-01-06|0.418|1.21%
2009-01-07|0.418|0.00%
2009-01-08|0.438|4.78%
2009-01-09|0.413|-5.71%
2009-01-12|0.413|0.00%
2009-01-13|0.388|-6.05%
2009-01-14|0.427|10.05%
2009-01-16|0.427|0.00%
2009-01-20|0.412|-3.51%
2009-01-21|0.435|5.58%
2009-01-22|0.395|-9.20%
2009-01-23|0.432|9.37%
2009-01-26|0.452|4.63%
2009-01-27|0.457|1.11%
2009-01-28|0.47|2.84%
2009-01-29|0.482|2.55%
2009-01-30|0.477|-1.04%
2009-02-02|0.492|3.14%
2009-02-03|0.517|5.08%
2009-02-04|0.495|-4.26%
2009-02-05|0.515|4.04%
2009-02-06|0.53|2.91%
2009-02-09|0.553|4.34%
2009-02-10|0.515|-6.87%
2009-02-11|0.598|16.12%
2009-02-12|0.593|-0.84%
2009-02-13|0.608|2.53%
2009-02-17|0.593|-2.47%
2009-02-18|0.628|5.90%
2009-02-19|0.652|3.82%
2009-02-20|0.623|-4.45%
2009-02-23|0.664|6.58%
2009-02-24|0.689|3.77%
2009-02-25|0.722|4.79%
2009-02-26|0.712|-1.39%
2009-02-27|0.682|-4.21%
2009-03-02|0.643|-5.72%
2009-03-03|0.636|-1.09%
2009-03-04|0.663|4.25%
2009-03-05|0.628|-5.28%
2009-03-06|0.658|4.78%
2009-03-09|0.668|1.52%
2009-03-10|0.683|2.25%
2009-03-11|0.71|3.95%
2009-03-12|0.688|-3.10%
2009-03-13|0.675|-1.89%
2009-03-16|0.673|-0.30%
2009-03-17|0.68|1.04%
2009-03-18|0.583|-14.26%
2009-03-19|0.588|0.86%
2009-03-20|0.588|0.00%
2009-03-23|0.593|0.85%
2009-03-24|0.598|0.84%
2009-03-25|0.583|-2.51%
2009-03-26|0.563|-3.43%
2009-03-27|0.568|0.89%
2009-03-30|0.578|1.76%
2009-03-31|0.547|-5.36%
2009-04-01|0.547|0.00%
2009-04-02|0.558|2.01%
2009-04-03|0.583|4.48%
