Date|Close|Change
2000-09-22|1.738|5.40%
2000-09-25|1.665|-4.20%
2000-09-26|1.807|8.53%
2000-09-27|1.714|-5.15%
2000-09-29|1.714|0.00%
2000-10-10|1.722|0.47%
2000-10-11|1.716|-0.35%
2000-10-12|1.674|-2.45%
2000-10-17|1.689|0.90%
2000-10-20|1.574|-6.81%
2000-10-23|1.531|-2.73%
2000-10-25|1.59|3.85%
2000-10-27|1.581|-0.57%
2000-10-30|1.581|0.00%
2000-11-02|2.794|76.72%
2000-11-03|2.677|-4.19%
2000-11-06|2.617|-2.24%
2000-11-15|2.617|0.00%
2000-11-16|2.617|0.00%
2000-11-20|2.809|7.34%
2000-11-21|2.812|0.11%
2000-11-22|2.817|0.18%
2000-11-23|2.82|0.11%
2000-11-24|2.833|0.46%
2000-11-27|2.821|-0.42%
2000-11-28|2.825|0.14%
2000-11-29|2.829|0.14%
2000-11-30|2.833|0.14%
2000-12-01|2.845|0.42%
2000-12-04|2.849|0.14%
2000-12-05|2.854|0.18%
2000-12-06|2.857|0.11%
2000-12-07|2.862|0.18%
2000-12-11|2.795|-2.34%
2000-12-14|2.707|-3.15%
2000-12-15|1.233|-54.45%
2000-12-18|2.574|108.76%
2000-12-19|2.567|-0.27%
2000-12-20|2.581|0.55%
2000-12-22|2.595|0.54%
2000-12-25|2.598|0.12%
2000-12-26|1.249|-51.92%
2000-12-27|2.236|79.02%
2000-12-28|2.832|26.65%
2000-12-29|2.785|-1.66%
2001-01-02|2.778|-0.25%
2001-01-03|2.751|-0.97%
2001-01-04|2.716|-1.27%
2001-01-05|2.658|-2.14%
2001-01-15|2.706|1.81%
2001-01-16|2.731|0.92%
2001-01-17|2.792|2.23%
2001-01-18|2.925|4.76%
2001-01-19|2.964|1.33%
2001-01-31|2.838|-4.25%
2001-02-01|2.791|-1.66%
2001-02-05|2.609|-6.52%
2001-02-06|2.844|9.01%
2001-02-07|2.878|1.20%
2001-02-08|2.896|0.63%
2001-02-09|2.892|-0.14%
2001-02-12|2.887|-0.17%
2001-02-13|2.891|0.14%
2001-02-14|2.895|0.14%
2001-02-15|2.884|-0.38%
2001-02-16|2.929|1.56%
2001-02-19|2.941|0.41%
2001-02-20|2.911|-1.02%
2001-02-21|2.892|-0.65%
2001-02-23|2.912|0.69%
2001-02-26|2.914|0.07%
2001-02-27|2.897|-0.58%
2001-02-28|2.89|-0.24%
2001-03-01|2.881|-0.31%
2001-03-02|2.848|-1.15%
2001-03-05|2.866|0.63%
2001-03-07|2.876|0.35%
2001-11-13|2.561|-10.95%
2001-11-22|1.825|-28.74%
2001-12-03|1.769|-3.07%
2001-12-17|1.769|0.00%
2001-12-21|1.602|-9.44%
2002-01-08|1.525|-4.81%
2002-01-09|1.525|0.00%
2002-01-25|1.525|0.00%
2002-01-30|1.476|-3.21%
2002-02-01|1.476|0.00%
2002-02-12|1.476|0.00%
2002-02-13|1.476|0.00%
2002-02-21|1.476|0.00%
2002-02-28|1.476|0.00%
2002-03-08|1.476|0.00%
2002-03-11|1.476|0.00%
2002-03-12|1.476|0.00%
2002-03-15|1.476|0.00%
2002-03-18|1.476|0.00%
2002-04-01|1.476|0.00%
2002-04-10|2.322|57.32%
2002-07-05|1.928|-16.97%
2002-07-09|1.963|1.82%
2002-07-10|1.953|-0.51%
2002-07-11|1.901|-2.66%
2002-07-12|1.901|0.00%
2002-07-16|1.9|-0.05%
2002-07-19|1.962|3.26%
2002-07-22|2.023|3.11%
2002-08-02|1.898|-6.18%
2002-08-13|1.899|0.05%
2002-08-14|2.199|15.80%
2002-08-21|2.116|-3.77%
2002-08-26|1.965|-7.14%
2002-08-29|1.965|0.00%
2002-09-02|1.965|0.00%
2002-09-04|2.104|7.07%
2002-09-05|2.093|-0.52%
2002-09-06|2.082|-0.53%
2002-09-09|2.082|0.00%
2002-09-12|2.227|6.96%
2002-09-25|2.28|2.38%
2002-09-26|2.144|-5.96%
2002-09-27|2.325|8.44%
2002-10-04|2.3|-1.08%
2002-10-08|2.323|1.00%
2002-10-09|2.34|0.73%
2002-10-11|2.346|0.26%
2002-10-15|2.358|0.51%
2002-10-16|2.36|0.08%
2002-10-18|2.357|-0.13%
2002-10-24|2.299|-2.46%
2002-10-25|2.299|0.00%
2002-10-28|2.386|3.78%
2002-10-30|2.357|-1.22%
2002-11-01|2.299|-2.46%
2002-11-04|2.299|0.00%
2002-11-05|2.401|4.44%
2002-11-13|2.409|0.33%
2002-11-14|2.346|-2.62%
2002-11-15|2.409|2.69%
2002-11-25|2.41|0.04%
2002-11-26|2.41|0.00%
2002-11-29|2.308|-4.23%
2002-12-05|2.298|-0.43%
2002-12-13|2.412|4.96%
2002-12-18|2.359|-2.20%
2002-12-19|2.412|2.25%
2002-12-20|2.412|0.00%
2002-12-25|2.413|0.04%
2002-12-26|4.278|77.29%
2002-12-30|2.483|-41.96%
2003-01-03|2.483|0.00%
2003-01-27|2.424|-2.38%
2003-01-30|2.418|-0.25%
2003-02-13|2.418|0.00%
2003-02-14|2.418|0.00%
2003-02-19|2.372|-1.90%
2003-02-21|2.344|-1.18%
2003-02-25|2.364|0.85%
2003-02-26|2.36|-0.17%
2003-03-04|2.363|0.13%
2003-03-06|3.666|55.14%
2003-03-07|2.345|-36.03%
2003-03-10|2.362|0.72%
2003-03-11|2.385|0.97%
2003-03-12|2.368|-0.71%
2003-03-13|2.357|-0.46%
2003-03-14|2.35|-0.30%
2003-03-17|2.35|0.00%
2003-03-18|2.374|1.02%
2003-03-19|2.354|-0.84%
2003-03-20|2.653|12.70%
2003-03-21|2.333|-12.06%
2003-03-24|2.33|-0.13%
2003-03-25|2.377|2.02%
2003-03-26|2.342|-1.47%
2003-03-27|2.329|-0.56%
2003-03-28|2.316|-0.56%
2003-03-31|2.652|14.51%
2003-04-01|2.421|-8.71%
2003-04-08|2.416|-0.21%
2003-04-11|4.093|69.41%
2003-04-15|2.371|-42.07%
2003-04-18|2.26|-4.68%
2003-04-21|2.281|0.93%
2003-04-22|2.375|4.12%
2003-04-23|2.28|-4.00%
2003-04-24|2.275|-0.22%
2003-04-25|2.398|5.41%
2003-04-28|2.265|-5.55%
2003-05-06|2.265|0.00%
2003-05-07|2.261|-0.18%
2003-05-20|2.209|-2.30%
2003-05-22|2.357|6.70%
2003-05-23|2.157|-8.49%
2003-05-27|2.163|0.28%
2003-05-29|2.134|-1.34%
2003-05-30|2.155|0.98%
2003-06-03|2.048|-4.97%
2003-06-04|2.079|1.51%
2003-06-10|2.08|0.05%
2003-06-11|2.095|0.72%
2003-06-12|2.108|0.62%
2003-06-13|2.446|16.03%
2003-06-20|2.891|18.19%
2003-06-23|2.138|-26.05%
2003-06-26|2.1|-1.78%
2003-07-01|2.102|0.10%
2003-07-03|2.406|14.46%
2003-07-04|2.376|-1.25%
2003-07-07|2.38|0.17%
2003-07-08|2.341|-1.64%
2003-07-09|2.354|0.56%
2003-07-10|2.363|0.38%
2003-07-11|2.41|1.99%
2003-07-14|2.409|-0.04%
2003-07-15|2.417|0.33%
2003-07-16|2.409|-0.33%
2003-07-17|2.405|-0.17%
2003-07-18|2.414|0.37%
2003-07-21|2.409|-0.21%
2003-07-22|2.407|-0.08%
2003-07-23|2.418|0.46%
2003-07-24|2.408|-0.41%
2003-07-25|2.425|0.71%
2003-07-28|2.562|5.65%
2003-07-29|2.399|-6.36%
2003-07-30|2.4|0.04%
2003-07-31|2.405|0.21%
2003-08-01|2.392|-0.54%
2003-08-04|2.628|9.87%
2003-08-07|2.403|-8.56%
2003-08-08|2.388|-0.62%
2003-08-11|2.524|5.70%
2003-08-12|2.383|-5.59%
2003-08-13|2.384|0.04%
2003-08-14|2.351|-1.38%
2003-08-15|2.192|-6.76%
2003-08-18|2.352|7.30%
2003-08-19|2.301|-2.17%
2003-08-20|2.427|5.48%
2003-08-21|2.401|-1.07%
2003-08-22|2.38|-0.87%
2003-08-25|2.398|0.76%
2003-08-29|2.398|0.00%
2003-09-03|2.396|-0.08%
2003-09-05|2.383|-0.54%
2003-09-08|2.398|0.63%
2003-09-10|2.391|-0.29%
2003-09-17|2.384|-0.29%
2003-09-18|2.395|0.46%
2003-09-19|2.392|-0.13%
2003-09-23|2.44|2.01%
2003-09-24|2.808|15.08%
2003-09-25|2.402|-14.46%
2003-09-26|2.4|-0.08%
2003-09-29|2.354|-1.92%
2003-09-30|2.35|-0.17%
2003-10-08|2.709|15.28%
2003-10-09|2.381|-12.11%
2003-10-10|2.389|0.34%
2003-10-13|2.389|0.00%
2003-10-14|2.393|0.17%
2003-10-15|2.399|0.25%
2003-10-20|2.401|0.08%
2003-10-21|2.491|3.75%
2003-10-22|2.395|-3.85%
2003-10-24|2.512|4.89%
2003-11-11|2.512|0.00%
2003-11-20|2.512|0.00%
2003-11-21|2.512|0.00%
2003-11-25|2.512|0.00%
2003-11-27|2.512|0.00%
2003-11-28|2.512|0.00%
2003-12-12|2.512|0.00%
2004-01-07|2.512|0.00%
2004-01-12|2.512|0.00%
2004-03-01|2.512|0.00%
2006-06-02|2.24|-10.83%
2006-06-05|2.3|2.68%
2006-06-06|2.3|0.00%
2006-06-07|2.33|1.30%
2006-06-08|2.38|2.15%
2006-06-09|2.39|0.42%
2006-06-12|2.38|-0.42%
2006-06-13|2.42|1.68%
2006-06-14|2.41|-0.41%
2006-06-15|2.43|0.83%
2006-06-16|2.47|1.65%
2006-06-19|2.47|0.00%
2006-06-20|2.39|-3.24%
2006-06-21|2.4|0.42%
2006-06-22|2.39|-0.42%
2006-06-23|2.46|2.93%
2006-06-26|2.47|0.41%
2006-06-27|2.4|-2.83%
2006-06-28|2.3|-4.17%
2006-06-29|2.32|0.87%
2006-06-30|2.35|1.29%
2006-07-03|2.4|2.13%
2006-07-04|2.41|0.42%
2006-07-05|2.36|-2.07%
2006-07-06|2.35|-0.42%
2006-07-07|2.35|0.00%
2006-07-10|2.38|1.28%
2006-07-11|2.34|-1.68%
2006-07-12|2.38|1.71%
2006-07-13|2.24|-5.88%
2006-07-14|2.29|2.23%
2006-07-17|2.38|3.93%
2006-07-18|2.41|1.26%
2006-07-19|2.38|-1.24%
2006-07-20|2.46|3.36%
2006-07-21|2.36|-4.07%
2006-07-24|2.38|0.85%
2006-07-25|2.39|0.42%
2006-07-26|2.4|0.42%
2006-07-27|2.42|0.83%
2006-07-28|2.43|0.41%
2006-07-31|2.43|0.00%
2006-08-01|2.45|0.82%
2006-08-02|2.5|2.04%
2006-08-03|2.49|-0.40%
2006-08-04|2.44|-2.01%
2006-08-07|2.45|0.41%
2006-08-08|2.47|0.82%
2006-08-09|2.45|-0.81%
2006-08-10|2.45|0.00%
2006-08-11|2.45|0.00%
2006-08-14|2.45|0.00%
2006-08-15|2.47|0.82%
2006-08-16|2.48|0.40%
2006-08-17|2.45|-1.21%
2006-08-18|2.4|-2.04%
2006-08-21|2.38|-0.83%
2006-08-22|2.42|1.68%
2006-08-23|2.48|2.48%
2006-08-24|2.49|0.40%
2006-08-25|2.46|-1.20%
2006-08-28|2.49|1.22%
2006-08-29|2.48|-0.40%
2006-08-30|2.46|-0.81%
2006-08-31|2.45|-0.41%
2006-09-01|2.45|0.00%
2006-09-04|2.45|0.00%
2006-09-05|2.41|-1.63%
2006-09-06|2.42|0.41%
2006-09-07|2.42|0.00%
2006-09-08|2.42|0.00%
2006-09-11|2.41|-0.41%
2006-09-12|2.41|0.00%
2006-09-13|2.4|-0.41%
2006-09-14|2.4|0.00%
2006-09-15|2.39|-0.42%
2006-09-18|2.38|-0.42%
2006-09-19|2.38|0.00%
2006-09-20|2.38|0.00%
2006-09-21|2.35|-1.26%
2006-09-22|2.33|-0.85%
2006-09-25|2.35|0.86%
2006-09-26|2.35|0.00%
2006-09-27|2.33|-0.85%
2006-09-28|2.32|-0.43%
2006-09-29|2.3|-0.86%
2006-10-09|2.29|-0.43%
2006-10-10|2.42|5.68%
2006-10-11|2.41|-0.41%
2006-10-12|2.39|-0.83%
2006-10-13|2.37|-0.84%
2006-10-16|2.36|-0.42%
2006-10-17|2.36|0.00%
2006-10-18|2.36|0.00%
2006-10-19|2.35|-0.42%
2006-10-20|2.35|0.00%
2006-10-23|2.34|-0.43%
2006-10-24|2.34|0.00%
2006-10-25|2.34|0.00%
2006-10-26|2.34|0.00%
2006-10-27|2.34|0.00%
2006-10-30|2.34|0.00%
2006-10-31|2.34|0.00%
2006-11-01|2.35|0.43%
2006-11-02|2.35|0.00%
2006-11-03|2.35|0.00%
2006-11-06|2.38|1.28%
2006-11-07|2.39|0.42%
2006-11-08|2.39|0.00%
2006-11-09|2.39|0.00%
2006-11-10|2.39|0.00%
2006-11-13|2.388|-0.08%
2006-11-14|2.386|-0.08%
2006-11-15|2.39|0.17%
2006-11-16|2.307|-3.47%
2006-11-17|2.368|2.64%
2006-11-20|2.401|1.39%
2006-11-21|2.351|-2.08%
2006-11-22|2.452|4.30%
2006-11-23|2.452|0.00%
2006-11-24|2.452|0.00%
2006-11-27|2.43|-0.90%
2006-11-28|2.489|2.43%
2006-11-29|2.431|-2.33%
2006-11-30|2.38|-2.10%
2006-12-01|2.49|4.62%
2006-12-04|2.49|0.00%
2006-12-05|2.362|-5.14%
2006-12-06|2.49|5.42%
2006-12-07|2.362|-5.14%
2006-12-08|2.399|1.57%
2006-12-11|2.429|1.25%
2006-12-12|2.491|2.55%
2006-12-13|2.377|-4.58%
2006-12-14|2.451|3.11%
2006-12-15|2.377|-3.02%
2006-12-18|2.414|1.56%
2006-12-19|2.42|0.25%
2006-12-20|2.459|1.61%
2006-12-21|2.46|0.04%
2006-12-22|2.415|-1.83%
2006-12-25|2.382|-1.37%
2006-12-26|2.46|3.27%
2006-12-27|2.494|1.38%
2006-12-28|2.415|-3.17%
2006-12-29|2.461|1.90%
2006-12-30|2.462|0.04%
2006-12-31|2.43|-1.30%
2007-01-04|2.42|-0.41%
2007-01-05|2.42|0.00%
2007-01-08|2.42|0.00%
2007-01-09|2.451|1.28%
2007-01-10|2.4|-2.08%
2007-01-11|2.341|-2.46%
2007-01-12|2.38|1.67%
2007-01-15|2.4|0.84%
2007-01-16|2.4|0.00%
2007-01-17|2.398|-0.08%
2007-01-18|2.341|-2.38%
2007-01-19|2.341|0.00%
2007-01-22|2.39|2.09%
2007-01-23|2.403|0.54%
2007-01-24|2.499|4.00%
2007-01-25|2.403|-3.84%
2007-01-26|2.403|0.00%
2007-01-29|2.404|0.04%
2007-01-30|2.353|-2.12%
2007-01-31|2.353|0.00%
2007-02-01|2.443|3.82%
2007-02-02|2.48|1.51%
2007-02-05|2.5|0.81%
2007-02-06|2.459|-1.64%
2007-02-07|2.482|0.94%
2007-02-08|2.483|0.04%
2007-02-09|2.46|-0.93%
2007-02-12|2.523|2.56%
2007-02-13|2.46|-2.50%
2007-02-14|2.523|2.56%
2007-02-15|2.523|0.00%
2007-02-16|2.461|-2.46%
2007-02-17|2.461|0.00%
2007-02-25|2.501|1.63%
2007-02-26|2.566|2.60%
2007-02-27|2.522|-1.71%
2007-02-28|2.462|-2.38%
2007-03-01|2.48|0.73%
2007-03-02|2.479|-0.04%
2007-03-05|2.479|0.00%
2007-03-06|2.5|0.85%
2007-03-07|2.5|0.00%
2007-03-08|2.532|1.28%
2007-03-09|2.5|-1.26%
2007-03-12|2.5|0.00%
2007-03-13|2.529|1.16%
2007-03-14|2.461|-2.69%
2007-03-15|2.53|2.80%
2007-03-16|2.612|3.24%
2007-03-19|2.53|-3.14%
2007-03-20|2.531|0.04%
2007-03-21|2.58|1.94%
2007-03-22|2.57|-0.39%
2007-03-23|2.577|0.27%
2007-03-26|2.582|0.19%
2007-03-27|2.533|-1.90%
2007-03-28|2.582|1.93%
2007-03-29|2.57|-0.46%
2007-03-30|2.555|-0.58%
2007-04-02|2.584|1.14%
2007-04-03|2.555|-1.12%
2007-04-04|2.58|0.98%
2007-04-05|2.56|-0.78%
2007-04-06|2.598|1.48%
2007-04-09|2.699|3.89%
2007-04-10|2.62|-2.93%
2007-04-11|2.7|3.05%
2007-04-12|2.62|-2.96%
2007-04-13|2.78|6.11%
2007-04-16|2.489|-10.47%
2007-04-17|2.88|15.71%
2007-04-18|2.83|-1.74%
2007-04-19|3.107|9.79%
2007-04-20|3.32|6.86%
2007-04-23|2.95|-11.14%
2007-04-24|2.95|0.00%
2007-04-25|2.901|-1.66%
2007-04-26|2.86|-1.41%
2007-04-27|2.902|1.47%
2007-04-28|2.902|0.00%
2007-04-29|2.883|-0.65%
2007-04-30|2.998|3.99%
2007-05-08|2.904|-3.14%
2007-05-09|2.92|0.55%
2007-05-10|2.97|1.71%
2007-05-11|3.001|1.04%
2007-05-14|3.001|0.00%
2007-05-15|3.051|1.67%
2007-05-16|3.052|0.03%
2007-05-17|3.041|-0.36%
2007-05-18|3.021|-0.66%
2007-05-21|3.2|5.93%
2007-05-22|3.2|0.00%
2007-05-23|3.023|-5.53%
2007-05-24|3.152|4.27%
2007-05-25|3.025|-4.03%
2007-05-28|3.025|0.00%
2007-05-29|3.154|4.26%
2007-05-30|3.026|-4.06%
2007-05-31|3.026|0.00%
2007-06-01|3.18|5.09%
2007-06-04|3.102|-2.45%
2007-06-05|3.2|3.16%
2007-06-06|3.2|0.00%
2007-06-07|3.177|-0.72%
2007-06-08|3.201|0.76%
2007-06-11|3.299|3.06%
2007-06-12|3.356|1.73%
2007-06-13|3.277|-2.35%
2007-06-14|3.18|-2.96%
2007-06-15|3.4|6.92%
2007-06-18|3.34|-1.76%
2007-06-19|3.45|3.29%
2007-06-20|3.45|0.00%
2007-06-21|3.302|-4.29%
2007-06-22|3.55|7.51%
2007-06-25|3.455|-2.68%
2007-06-26|3.48|0.72%
2007-06-27|3.184|-8.51%
2007-06-28|3.338|4.84%
2007-06-29|3.533|5.84%
2007-07-02|3.4|-3.76%
2007-07-03|3.48|2.35%
2007-07-04|3.48|0.00%
2007-07-05|3.48|0.00%
2007-07-06|3.55|2.01%
2007-07-09|3.343|-5.83%
2007-07-10|3.344|0.03%
2007-07-11|3.48|4.07%
2007-07-12|3.505|0.72%
2007-07-13|3.507|0.06%
2007-07-16|3.703|5.59%
2007-07-17|3.633|-1.89%
2007-07-18|3.6|-0.91%
2007-07-19|3.706|2.94%
2007-07-20|3.708|0.05%
2007-07-23|3.603|-2.83%
2007-07-24|3.603|0.00%
2007-07-25|3.57|-0.92%
2007-07-26|3.605|0.98%
2007-07-27|3.57|-0.97%
2007-07-30|3.359|-5.91%
2007-07-31|3.556|5.86%
2007-08-01|3.556|0.00%
2007-08-02|3.454|-2.87%
2007-08-03|3.65|5.67%
2007-08-06|3.457|-5.29%
2007-08-07|3.561|3.01%
2007-08-08|3.562|0.03%
2007-08-09|3.563|0.03%
2007-08-10|3.48|-2.33%
2007-08-13|3.48|0.00%
2007-08-14|3.53|1.44%
2007-08-15|3.568|1.08%
2007-08-16|3.55|-0.50%
2007-08-17|3.571|0.59%
2007-08-20|3.572|0.03%
2007-08-21|3.573|0.03%
2007-08-22|3.454|-3.33%
2007-08-23|3.483|0.84%
2007-08-24|3.445|-1.09%
2007-08-27|3.578|3.86%
2007-08-28|3.578|0.00%
2007-08-29|3.5|-2.18%
2007-08-30|3.58|2.29%
2007-08-31|3.549|-0.87%
2007-09-03|3.454|-2.68%
2007-09-04|3.455|0.03%
2007-09-05|3.584|3.73%
2007-09-06|3.456|-3.57%
2007-09-07|3.588|3.82%
2007-09-10|3.459|-3.60%
2007-09-11|3.552|2.69%
2007-09-12|3.5|-1.46%
2007-09-13|3.55|1.43%
2007-09-14|3.55|0.00%
2007-09-17|3.538|-0.34%
2007-09-18|3.65|3.17%
2007-09-19|3.652|0.05%
2007-09-20|3.7|1.31%
2007-09-21|3.655|-1.22%
2007-09-24|3.543|-3.06%
2007-09-25|3.7|4.43%
2007-09-26|3.658|-1.14%
2007-09-27|3.66|0.05%
2007-09-28|3.554|-2.90%
2007-09-29|3.554|0.00%
2007-09-30|3.748|5.46%
2007-10-08|3.554|-5.18%
2007-10-09|3.688|3.77%
2007-10-10|3.67|-0.49%
2007-10-11|3.671|0.03%
2007-10-12|3.682|0.30%
2007-10-15|3.675|-0.19%
2007-10-16|3.599|-2.07%
2007-10-17|3.684|2.36%
2007-10-18|3.62|-1.74%
2007-10-19|3.761|3.90%
2007-10-22|3.762|0.03%
2007-10-23|3.763|0.03%
2007-10-24|3.671|-2.44%
2007-10-25|3.859|5.12%
2007-10-26|3.862|0.08%
2007-10-29|3.852|-0.26%
2007-10-30|3.852|0.00%
2007-10-31|3.746|-2.75%
2007-11-01|3.853|2.86%
2007-11-02|3.854|0.03%
2007-11-05|3.926|1.87%
2007-11-06|3.8|-3.21%
2007-11-07|3.8|0.00%
2007-11-08|3.8|0.00%
2007-11-09|3.929|3.39%
2007-11-12|4|1.81%
2007-11-13|3.93|-1.75%
2007-11-14|4.101|4.35%
2007-11-15|4.101|0.00%
2007-11-16|4|-2.46%
2007-11-19|4.169|4.23%
2007-11-20|4.309|3.36%
2007-11-21|4.18|-2.99%
2007-11-22|4.171|-0.22%
2007-11-23|4.305|3.21%
2007-11-26|4.1|-4.76%
2007-11-27|4.314|5.22%
2007-11-28|4.315|0.02%
2007-11-29|3.95|-8.46%
2007-11-30|4.157|5.24%
2007-12-03|4.177|0.48%
2007-12-04|4.177|0.00%
2007-12-05|4.159|-0.43%
2007-12-06|4.2|0.99%
2007-12-07|4.161|-0.93%
2007-12-10|4.162|0.02%
2007-12-11|4.203|0.99%
2007-12-12|4.114|-2.12%
2007-12-13|4.02|-2.28%
2007-12-14|4.053|0.82%
2007-12-17|4.053|0.00%
2007-12-18|4.009|-1.09%
2007-12-19|4.08|1.77%
