Date|Close|Change
2002-06-06|2.414|-16.35%
2002-06-07|2.418|0.17%
2002-06-10|2.435|0.70%
2002-06-11|2.432|-0.12%
2002-06-12|2.43|-0.08%
2002-06-13|2.441|0.45%
2002-06-14|2.43|-0.45%
2002-06-17|2.44|0.41%
2002-06-18|2.444|0.16%
2002-06-19|2.458|0.57%
2002-06-20|2.433|-1.02%
2002-06-21|2.449|0.66%
2002-06-24|2.533|3.43%
2002-06-25|2.556|0.91%
2002-06-26|2.551|-0.20%
2002-06-27|2.548|-0.12%
2002-06-28|2.53|-0.71%
2002-07-01|2.548|0.71%
2002-07-02|2.533|-0.59%
2002-07-03|2.544|0.43%
2002-07-04|2.542|-0.08%
2002-07-05|2.588|1.81%
2002-07-08|2.596|0.31%
2002-07-09|2.587|-0.35%
2002-07-10|2.633|1.78%
2002-07-11|2.657|0.91%
2002-07-12|2.667|0.38%
2002-07-15|2.7|1.24%
2002-07-16|2.679|-0.78%
2002-07-17|2.7|0.78%
2002-07-18|2.735|1.30%
2002-07-19|2.732|-0.11%
2002-07-22|2.732|0.00%
2002-07-23|2.719|-0.48%
2002-07-24|2.712|-0.26%
2002-07-25|2.722|0.37%
2002-07-26|2.727|0.18%
2002-07-29|2.761|1.25%
2002-07-30|2.851|3.26%
2002-07-31|2.87|0.67%
2002-08-01|2.862|-0.28%
2002-08-02|2.823|-1.36%
2002-08-05|2.812|-0.39%
2002-08-06|2.811|-0.04%
2002-08-07|2.817|0.21%
2002-08-08|2.856|1.38%
2002-08-09|2.861|0.18%
2002-08-12|2.855|-0.21%
2002-08-13|2.88|0.88%
2002-08-14|2.907|0.94%
2002-08-15|2.891|-0.55%
2002-08-16|2.895|0.14%
2002-08-19|2.884|-0.38%
2002-08-20|2.873|-0.38%
2002-08-21|2.837|-1.25%
2002-08-22|2.831|-0.21%
2002-08-23|2.852|0.74%
2002-08-26|2.848|-0.14%
2002-08-27|2.831|-0.60%
2002-08-28|2.849|0.64%
2002-08-29|2.844|-0.18%
2002-08-30|2.847|0.11%
2002-09-02|2.824|-0.81%
2002-09-03|2.897|2.58%
2002-09-04|2.969|2.49%
2002-09-05|2.945|-0.81%
2002-09-06|2.953|0.27%
2002-09-09|2.961|0.27%
2002-09-10|2.931|-1.01%
2002-09-11|2.95|0.65%
2002-09-12|2.937|-0.44%
2002-09-13|2.936|-0.03%
2002-09-16|2.935|-0.03%
2002-09-17|3.039|3.54%
2002-09-18|3.043|0.13%
2002-09-19|3.041|-0.07%
2002-09-20|3.042|0.03%
2002-09-23|3.049|0.23%
2002-09-24|3.047|-0.07%
2002-09-25|3.127|2.63%
2002-09-26|3.128|0.03%
2002-09-27|3.106|-0.70%
2002-09-28|3.058|-1.55%
2002-09-29|3.08|0.72%
2002-09-30|3.081|0.03%
2002-10-08|3.102|0.68%
2002-10-09|3.115|0.42%
2002-10-10|3.115|0.00%
2002-10-11|3.148|1.06%
2002-10-14|3.149|0.03%
2002-10-15|3.142|-0.22%
2002-10-16|3.126|-0.51%
2002-10-17|3.125|-0.03%
2002-10-18|3.124|-0.03%
2002-10-21|3.081|-1.38%
2002-10-22|3.061|-0.65%
2002-10-23|3.036|-0.82%
2002-10-24|3.11|2.44%
2002-10-25|3.125|0.48%
2002-10-28|3.118|-0.22%
2002-10-29|3.057|-1.96%
2002-10-30|3.118|2.00%
2002-10-31|3.068|-1.60%
2002-11-01|3.066|-0.07%
2002-11-04|3.103|1.21%
2002-11-05|2.979|-4.00%
2002-11-06|3.031|1.75%
2002-11-07|3.096|2.14%
2002-11-08|3.116|0.65%
2002-11-11|3.188|2.31%
2002-11-12|3.2|0.38%
2002-11-13|3.15|-1.56%
2002-11-14|3.15|0.00%
2002-11-15|3.15|0.00%
2002-11-18|3.189|1.24%
2002-11-19|3.189|0.00%
2002-11-20|3.186|-0.09%
2002-11-21|3.281|2.98%
2002-11-22|3.285|0.12%
2002-11-25|3.309|0.73%
2002-11-26|3.229|-2.42%
2002-11-27|3.303|2.29%
2002-11-28|3.322|0.58%
2002-12-03|3.339|0.51%
2002-12-04|3.217|-3.65%
2002-12-05|3.349|4.10%
2002-12-06|3.362|0.39%
2002-12-09|3.346|-0.48%
2002-12-10|3.321|-0.75%
2002-12-11|3.321|0.00%
2002-12-12|3.34|0.57%
2002-12-13|3.301|-1.17%
2002-12-16|3.257|-1.33%
2002-12-17|3.221|-1.11%
2002-12-18|3.213|-0.25%
2002-12-19|3.064|-4.64%
2002-12-20|3.059|-0.16%
2002-12-23|3.034|-0.82%
2002-12-24|3.035|0.03%
2002-12-25|3.031|-0.13%
2002-12-26|3.022|-0.30%
2002-12-30|3.168|4.83%
2002-12-31|3.099|-2.18%
2003-01-02|3.055|-1.42%
2003-01-03|3.075|0.65%
2003-01-06|3.088|0.42%
2003-01-07|3.074|-0.45%
2003-01-08|3.072|-0.07%
2003-01-09|3.063|-0.29%
2003-01-10|3.064|0.03%
2003-01-13|3.042|-0.72%
2003-01-14|3.04|-0.07%
2003-01-15|3.024|-0.53%
2003-01-16|3.105|2.68%
2003-01-17|3.1|-0.16%
2003-01-20|3.034|-2.13%
2003-01-21|3.029|-0.16%
2003-01-22|3.026|-0.10%
2003-01-23|3.025|-0.03%
2003-01-24|3.021|-0.13%
2003-01-27|3.079|1.92%
2003-01-28|3.059|-0.65%
2003-01-29|3.066|0.23%
2003-01-30|3.057|-0.29%
2003-01-31|3.057|0.00%
2003-02-08|3.009|-1.57%
2003-02-09|3.009|0.00%
2003-02-10|3.007|-0.07%
2003-02-11|3.006|-0.03%
2003-02-12|3.001|-0.17%
2003-02-13|3|-0.03%
2003-02-14|2.982|-0.60%
2003-02-17|3.008|0.87%
2003-02-18|2.99|-0.60%
2003-02-19|2.987|-0.10%
2003-02-20|2.983|-0.13%
2003-02-21|2.988|0.17%
2003-02-24|2.981|-0.23%
