Date	Close	Change
2006-02-07	1.586	1.21%
2006-02-08	1.576	-0.63%
2006-02-09	1.567	-0.57%
2006-02-10	1.604	2.36%
2006-02-13	1.567	-2.31%
2006-02-14	1.6	2.11%
2006-02-15	1.576	-1.50%
2006-02-16	1.557	-1.21%
2006-02-17	1.529	-1.80%
2006-02-20	1.525	-0.26%
2006-02-21	1.534	0.59%
2006-02-22	1.534	0.00%
2006-02-23	1.567	2.15%
2006-02-24	1.609	2.68%
2006-02-27	1.604	-0.31%
2006-02-28	1.59	-0.87%
2006-03-01	1.609	1.19%
2006-03-02	1.637	1.74%
2006-03-03	1.623	-0.86%
2006-03-06	1.637	0.86%
2006-03-07	1.651	0.86%
2006-03-08	1.618	-2.00%
2006-03-09	1.618	0.00%
2006-03-10	1.665	2.90%
2006-03-13	1.693	1.68%
2006-03-14	1.679	-0.83%
2006-03-15	1.721	2.50%
2006-03-16	1.72	-0.06%
2006-03-17	1.715	-0.29%
2006-03-20	1.729	0.82%
2006-03-22	1.725	-0.23%
2006-03-23	1.715	-0.58%
2006-03-24	1.729	0.82%
2006-03-27	1.692	-2.14%
2006-03-28	1.706	0.83%
2006-03-29	1.775	4.04%
2006-03-30	1.775	0.00%
2006-03-31	1.766	-0.51%
2006-04-03	1.78	0.79%
2006-04-04	1.835	3.09%
2006-04-05	1.845	0.54%
2006-04-06	1.868	1.25%
2006-04-07	1.878	0.54%
2006-04-10	1.882	0.21%
2006-04-11	1.887	0.27%
2006-04-12	1.887	0.00%
2006-04-13	1.928	2.17%
2006-04-14	1.96	1.66%
2006-04-17	1.97	0.51%
2006-04-18	1.96	-0.51%
2006-04-19	1.882	-3.98%
2006-04-20	1.905	1.22%
2006-04-21	1.91	0.26%
2006-04-24	1.891	-0.99%
2006-04-25	1.905	0.74%
2006-04-26	1.933	1.47%
2006-04-27	1.965	1.66%
2006-04-28	1.919	-2.34%
2006-05-01	1.882	-1.93%
2006-05-02	1.914	1.70%
2006-05-08	1.965	2.66%
2006-05-09	1.956	-0.46%
2006-05-10	1.998	2.15%
2006-05-11	1.971	-1.35%
2006-05-12	1.998	1.37%
2006-05-15	1.998	0.00%
2006-05-16	1.966	-1.60%
2006-05-17	1.924	-2.14%
2006-05-18	1.957	1.72%
2006-05-19	1.92	-1.89%
2006-05-22	1.85	-3.65%
2006-05-23	1.812	-2.05%
2006-05-24	1.845	1.82%
2006-05-25	1.868	1.25%
2006-05-26	1.868	0.00%
2006-05-29	1.878	0.54%
2006-05-30	1.854	-1.28%
2006-05-31	1.831	-1.24%
2006-06-01	1.934	5.63%
2006-06-02	1.918	-0.83%
2006-06-05	1.876	-2.19%
2006-06-06	1.927	2.72%
2006-06-07	1.881	-2.39%
2006-06-08	1.862	-1.01%
2006-06-09	1.853	-0.48%
2006-06-12	1.844	-0.49%
2006-06-13	1.797	-2.55%
2006-06-14	1.793	-0.22%
2006-06-15	1.793	0.00%
2006-06-16	1.82	1.51%
2006-06-19	1.83	0.55%
2006-06-20	1.862	1.75%
2006-06-21	1.853	-0.48%
2006-06-22	1.862	0.49%
2006-06-23	1.881	1.02%
2006-06-26	1.899	0.96%
2006-06-27	1.908	0.47%
2006-06-28	1.913	0.26%
2006-06-29	1.922	0.47%
2006-06-30	1.922	0.00%
2006-07-03	1.969	2.45%
2006-07-04	1.969	0.00%
2006-07-05	1.985	0.81%
2006-07-06	1.985	0.00%
2006-07-07	1.962	-1.16%
2006-07-10	1.981	0.97%
2006-07-11	1.976	-0.25%
2006-07-12	1.944	-1.62%
2006-07-13	1.92	-1.23%
2006-07-14	1.855	-3.39%
2006-07-18	1.841	-0.75%
2006-07-19	1.86	1.03%
